Time,Latitude,Longitude,Altitude,Condutivity,DissolvedOxygen,RedoxPotential,Temperature,pH
1572037160.0,-32.0745376,-52.16604735,17.1329676578,310.0,26.8999996185,174.600006104,28.2630004883,10.9280004501
1572037165.0,-32.07454345,-52.16601365,17.2978971363,310.0,26.8199996948,174.600006104,28.2689990997,10.9280004501
1572037170.0,-32.0745497,-52.16598425,17.3928404614,310.100006104,26.7900009155,174.199996948,28.2569999695,10.9239997864
1572037175.5,-32.0745628,-52.16595385,17.2927428533,309.899993896,26.8099994659,174.0,28.2450008392,10.9189996719
1572037181.0,-32.0745783,-52.16592805,17.277684925,309.200012207,26.8299999237,174.899993896,28.232000351,10.9270000458
1572037186.0,-32.07459185,-52.16589895,17.4225870336,308.600006104,26.5300006866,174.100006104,28.0909996033,10.9169998169
1572037191.0,-32.0746024,-52.1658694,17.3325377124,307.700012207,26.3299999237,173.5,28.2399997711,10.9130001068
1572037196.5,-32.07460585,-52.1658411,17.2224633704,308.0,26.4500007629,174.5,28.2240009308,10.8870000839
1572037202.0,-32.074584,-52.1658114,17.3123723037,308.100006104,26.4200000763,174.199996948,28.2110004425,10.9239997864
1572037207.0,-32.07457195,-52.16578035,17.3523007876,308.700012207,26.2900009155,173.800003052,28.2059993744,10.8940000534
1572037212.0,-32.0745647,-52.1657496,17.3072006891,309.0,26.5699996948,173.600006104,28.2049999237,10.8979997635
1572037217.0,-32.07454875,-52.16572345,17.282121542,309.200012207,26.4300003052,173.5,28.202999115,10.9099998474
1572037222.5,-32.07452565,-52.16569775,17.322043884,309.299987793,26.7299995422,174.100006104,28.2059993744,10.9139995575
1572037228.0,-32.0744992,-52.16566645,17.2719750006,308.299987793,26.8700008392,174.600006104,28.2119998932,10.9040002823
1572037233.0,-32.0744775,-52.16563705,17.2618621795,307.299987793,26.7600002289,172.899993896,28.2150001526,10.892999649
1572037238.0,-32.0744573,-52.16561005,17.2617941028,307.399993896,26.4899997711,172.699996948,28.2159996033,10.8710002899
1572037243.0,-32.07443905,-52.16558555,17.2767435665,306.899993896,26.4699993134,172.0,28.2129993439,10.8459997177
1572037249.0,-32.07441165,-52.1655513,17.2566220142,304.799987793,26.3099994659,173.399993896,28.0839996338,10.8339996338
1572037254.0,-32.07438575,-52.16552285,17.2865394315,303.5,25.6499996185,172.899993896,28.1000003815,10.8039999008
1572037259.0,-32.07435735,-52.1655064,17.3514813804,303.399993896,24.6399993896,172.899993896,28.1049995422,10.767999649
1572037264.0,-32.07432635,-52.1654942,17.3714240536,306.399993896,24.6100006104,173.0,28.1060009003,10.8159999847
1572037269.5,-32.0742944,-52.1654754,17.3213895415,307.600006104,25.8999996185,171.5,28.1009998322,10.888999939
1572037275.0,-32.07426875,-52.1654455,17.3512871358,307.799987793,26.8400001526,171.300003052,28.0970001221,10.8850002289
1572037280.0,-32.07424655,-52.16542135,17.3862127282,309.100006104,27.2299995422,171.699996948,28.0939998627,10.9079999924
1572037285.0,-32.0742237,-52.1653945,17.381119631,308.5,27.5400009155,172.0,28.0909996033,10.9060001373
1572037290.5,-32.07420395,-52.1653696,17.3060408943,308.600006104,27.6900005341,171.0,28.091999054,10.8920001984
1572037296.0,-32.07417655,-52.16533745,17.4459495299,308.600006104,27.7299995422,171.300003052,28.0909996033,10.9020004272
1572037301.0,-32.07415975,-52.16531295,17.5008947643,308.299987793,27.7099990845,171.600006104,28.0900001526,10.9230003357
1572037306.0,-32.07414985,-52.1652862,17.330811165,306.5,27.6900005341,172.800003052,28.0839996338,10.9130001068
1572037311.0,-32.0741378,-52.1652518,17.4306919949,306.5,27.3799991608,171.699996948,28.0739994049,10.9079999924
1572037317.0,-32.0741179,-52.1652114,17.390639814,305.899993896,27.3099994659,172.199996948,28.0590000153,10.9010000229
1572037322.0,-32.0741037,-52.16518145,17.3805328586,305.0,27.0900001526,172.100006104,28.0550003052,10.8690004349
1572037327.0,-32.07408875,-52.16515045,17.3704554828,302.600006104,27.1700000763,172.600006104,28.0540008545,10.8459997177
1572037332.0,-32.07407405,-52.16512125,17.3153143754,301.799987793,26.1399993896,173.100006104,28.0480003357,10.8009996414
1572037337.5,-32.0740564,-52.1650882,17.3302869296,301.700012207,25.7299995422,172.800003052,28.0349998474,10.8079996109
